branch,period,age_group,virus,environment,n_months,rho_display,q_period,fdr05_period,status
minimal_corrected,2019,4-12,RSV,CO,10,0.5294233937317222,0.4687573724119506,False,computed_exploratory
minimal_corrected,2019,4-12,RSV,AQI,10,0.1267633477949194,0.9211427661583907,False,computed_exploratory
minimal_corrected,2019,4-12,ADV,windlevel,10,-0.1151515151515151,0.9211427661583907,False,computed_exploratory
minimal_corrected,2019,4-12,ADV,temp,10,0.7575757575757575,0.1979628325784954,False,computed_exploratory
minimal_corrected,2019,4-12,ADV,humi,10,0.2727272727272727,0.73943920060749,False,computed_exploratory
minimal_corrected,2019,4-12,ADV,PM2.5,10,-0.8909090909090909,0.0460822591108786,True,computed_exploratory
minimal_corrected,2019,4-12,ADV,PM10,10,-0.7212121212121211,0.2302004357800321,False,computed_exploratory
minimal_corrected,2019,4-12,ADV,NO2,10,-0.3575757575757575,0.6550787393344795,False,computed_exploratory
minimal_corrected,2019,4-12,ADV,SO2,10,-0.8909090909090909,0.0460822591108786,True,computed_exploratory
minimal_corrected,2019,4-12,ADV,O3,10,-0.4545454545454545,0.5124809316030071,False,computed_exploratory
minimal_corrected,2019,4-12,ADV,CO,10,-0.8060606060606059,0.1836778638519962,False,computed_exploratory
minimal_corrected,2019,4-12,ADV,AQI,10,-0.6848484848484848,0.2584250303233983,False,computed_exploratory
minimal_corrected,2019,4-12,PIV,windlevel,10,-0.1272727272727272,0.9211427661583907,False,computed_exploratory
minimal_corrected,2019,4-12,PIV,temp,10,-0.1272727272727272,0.9211427661583907,False,computed_exploratory
minimal_corrected,2019,4-12,PIV,humi,10,0.0909090909090908,0.9211427661583907,False,computed_exploratory
minimal_corrected,2019,4-12,PIV,PM2.5,10,-0.0303030303030303,0.9890430085732392,False,computed_exploratory
minimal_corrected,2019,4-12,PIV,PM10,10,-0.103030303030303,0.9211427661583907,False,computed_exploratory
minimal_corrected,2019,4-12,PIV,NO2,10,-0.103030303030303,0.9211427661583907,False,computed_exploratory
minimal_corrected,2019,4-12,PIV,SO2,10,-0.0545454545454545,0.9570361073323638,False,computed_exploratory
minimal_corrected,2019,4-12,PIV,O3,10,-0.006060606060606,1.0,False,computed_exploratory
minimal_corrected,2019,4-12,PIV,CO,10,-0.0909090909090908,0.9211427661583907,False,computed_exploratory
minimal_corrected,2019,4-12,PIV,AQI,10,0.006060606060606,1.0,False,computed_exploratory
minimal_corrected,2019,4-12,HRV,windlevel,10,0.2969696969696969,0.7388096310406082,False,computed_exploratory
minimal_corrected,2019,4-12,HRV,temp,10,-0.6727272727272726,0.2715913710748846,False,computed_exploratory
minimal_corrected,2019,4-12,HRV,humi,10,-0.3818181818181818,0.6550787393344795,False,computed_exploratory
minimal_corrected,2019,4-12,HRV,PM2.5,10,0.709090909090909,0.2302004357800321,False,computed_exploratory
minimal_corrected,2019,4-12,HRV,PM10,10,0.7212121212121211,0.2302004357800321,False,computed_exploratory
minimal_corrected,2019,4-12,HRV,NO2,10,0.1757575757575757,0.895983349680692,False,computed_exploratory
minimal_corrected,2019,4-12,HRV,SO2,10,0.8424242424242423,0.1315674738384987,False,computed_exploratory
