Year,Month,rate_display_pct,virus,branch,phase
2025,9,3.34075723830735,FluB,minimal_corrected,phase2
2025,10,1.925820256776034,FluB,minimal_corrected,phase2
2025,11,0.8298755186721992,FluB,minimal_corrected,phase2
2019,2,,RSV,minimal_corrected,phase2
2019,3,8.035714285714286,RSV,minimal_corrected,phase2
2019,4,5.14018691588785,RSV,minimal_corrected,phase2
2019,5,1.214574898785425,RSV,minimal_corrected,phase2
2019,6,0.5934718100890208,RSV,minimal_corrected,phase2
2019,7,0.7263922518159807,RSV,minimal_corrected,phase2
2019,8,6.179775280898876,RSV,minimal_corrected,phase2
2019,9,11.214953271028037,RSV,minimal_corrected,phase2
2019,10,8.19672131147541,RSV,minimal_corrected,phase2
2019,11,3.287671232876712,RSV,minimal_corrected,phase2
2019,12,10.843373493975903,RSV,minimal_corrected,phase2
2020,1,17.731421121251632,RSV,minimal_corrected,phase2
2020,2,3.3190578158458246,RSV,minimal_corrected,phase2
2020,3,0.8602150537634409,RSV,minimal_corrected,phase2
2020,4,0.8032128514056224,RSV,minimal_corrected,phase2
2020,5,0.0,RSV,minimal_corrected,phase2
2020,6,0.0,RSV,minimal_corrected,phase2
2020,7,0.8097165991902834,RSV,minimal_corrected,phase2
2020,8,2.666666666666667,RSV,minimal_corrected,phase2
2020,9,14.17004048582996,RSV,minimal_corrected,phase2
2020,10,16.10738255033557,RSV,minimal_corrected,phase2
2020,11,10.144927536231885,RSV,minimal_corrected,phase2
2020,12,4.824561403508771,RSV,minimal_corrected,phase2
2021,1,1.5037593984962403,RSV,minimal_corrected,phase2
2021,2,2.255639097744361,RSV,minimal_corrected,phase2
2021,3,0.0,RSV,minimal_corrected,phase2
2021,4,0.5076142131979695,RSV,minimal_corrected,phase2
2021,5,3.314917127071823,RSV,minimal_corrected,phase2
2021,6,19.791666666666664,RSV,minimal_corrected,phase2
2021,7,36.33540372670808,RSV,minimal_corrected,phase2
2021,8,30.181818181818183,RSV,minimal_corrected,phase2
2021,9,20.30075187969925,RSV,minimal_corrected,phase2
2021,10,0.0,RSV,minimal_corrected,phase2
2021,11,0.4405286343612335,RSV,minimal_corrected,phase2
2021,12,0.6514657980456027,RSV,minimal_corrected,phase2
2022,1,1.6172506738544474,RSV,minimal_corrected,phase2
2022,2,4.198473282442748,RSV,minimal_corrected,phase2
2022,3,5.306122448979592,RSV,minimal_corrected,phase2
2022,4,0.9025270758122744,RSV,minimal_corrected,phase2
2022,5,1.2437810945273633,RSV,minimal_corrected,phase2
2022,6,2.5787965616045847,RSV,minimal_corrected,phase2
2022,7,5.572289156626506,RSV,minimal_corrected,phase2
2022,8,8.586762075134168,RSV,minimal_corrected,phase2
2022,9,3.864734299516908,RSV,minimal_corrected,phase2
2022,10,4.721030042918455,RSV,minimal_corrected,phase2
