Year,Month,Age_Group,rate_display_pct,branch
2021,2,45-59,0.0,minimal_corrected
2021,2,60-74,0.0,minimal_corrected
2021,2,75-89,0.0,minimal_corrected
2021,2,>=90,0.0,minimal_corrected
2021,3,<1,0.0,minimal_corrected
2021,3,1-3,21.428571428571427,minimal_corrected
2021,3,4-12,10.0,minimal_corrected
2021,3,13-17,0.0,minimal_corrected
2021,3,18-44,0.0,minimal_corrected
2021,3,45-59,0.0,minimal_corrected
2021,3,60-74,0.0,minimal_corrected
2021,3,75-89,0.0,minimal_corrected
2021,3,>=90,0.0,minimal_corrected
2021,4,<1,0.0,minimal_corrected
2021,4,1-3,0.0,minimal_corrected
2021,4,4-12,11.11111111111111,minimal_corrected
2021,4,13-17,0.0,minimal_corrected
2021,4,18-44,0.0,minimal_corrected
2021,4,45-59,0.0,minimal_corrected
2021,4,60-74,0.0,minimal_corrected
2021,4,75-89,0.0,minimal_corrected
2021,4,>=90,0.0,minimal_corrected
2021,5,<1,4.761904761904762,minimal_corrected
2021,5,1-3,13.636363636363637,minimal_corrected
2021,5,4-12,10.0,minimal_corrected
2021,5,13-17,0.0,minimal_corrected
2021,5,18-44,0.0,minimal_corrected
2021,5,45-59,0.0,minimal_corrected
2021,5,60-74,0.0,minimal_corrected
2021,5,75-89,0.0,minimal_corrected
2021,5,>=90,0.0,minimal_corrected
2021,6,<1,11.475409836065571,minimal_corrected
2021,6,1-3,7.272727272727272,minimal_corrected
2021,6,4-12,10.0,minimal_corrected
2021,6,18-44,0.0,minimal_corrected
2021,6,45-59,0.0,minimal_corrected
2021,6,60-74,0.0,minimal_corrected
2021,6,75-89,0.0,minimal_corrected
2021,6,>=90,0.0,minimal_corrected
2021,7,<1,10.588235294117649,minimal_corrected
2021,7,1-3,14.666666666666666,minimal_corrected
2021,7,4-12,14.814814814814811,minimal_corrected
2021,7,13-17,0.0,minimal_corrected
2021,7,18-44,0.0,minimal_corrected
2021,7,45-59,0.0,minimal_corrected
2021,7,60-74,0.0,minimal_corrected
2021,7,75-89,0.0,minimal_corrected
2021,7,>=90,0.0,minimal_corrected
2021,8,<1,1.4285714285714286,minimal_corrected
2021,8,1-3,6.122448979591836,minimal_corrected
2021,8,4-12,0.0,minimal_corrected
2021,8,13-17,0.0,minimal_corrected
2021,8,18-44,0.0,minimal_corrected
2021,8,45-59,0.0,minimal_corrected
2021,8,60-74,0.0,minimal_corrected
2021,8,75-89,0.0,minimal_corrected
2021,8,>=90,0.0,minimal_corrected
2021,9,<1,4.3478260869565215,minimal_corrected
2021,9,1-3,0.0,minimal_corrected
2021,9,4-12,0.0,minimal_corrected
2021,9,18-44,0.0,minimal_corrected
2021,9,45-59,0.0,minimal_corrected
2021,9,60-74,0.0,minimal_corrected
2021,9,75-89,0.0,minimal_corrected
2021,9,>=90,0.0,minimal_corrected
2021,10,<1,0.0,minimal_corrected
2021,10,1-3,0.0,minimal_corrected
2021,10,4-12,0.0,minimal_corrected
2021,10,13-17,0.0,minimal_corrected
2021,10,18-44,0.0,minimal_corrected
2021,10,45-59,0.0,minimal_corrected
2021,10,60-74,0.0,minimal_corrected
2021,10,75-89,0.0,minimal_corrected
2021,10,>=90,2.2222222222222223,minimal_corrected
2021,11,<1,2.857142857142857,minimal_corrected
2021,11,1-3,3.571428571428571,minimal_corrected
2021,11,4-12,3.4482758620689653,minimal_corrected
2021,11,13-17,0.0,minimal_corrected
2021,11,18-44,0.0,minimal_corrected
2021,11,45-59,0.0,minimal_corrected
2021,11,60-74,0.0,minimal_corrected
2021,11,75-89,0.0,minimal_corrected
2021,11,>=90,0.0,minimal_corrected
2021,12,<1,0.0,minimal_corrected
2021,12,1-3,9.375,minimal_corrected
2021,12,4-12,3.0303030303030303,minimal_corrected
2021,12,13-17,0.0,minimal_corrected
2021,12,18-44,0.0,minimal_corrected
2021,12,45-59,0.0,minimal_corrected
2021,12,60-74,0.0,minimal_corrected
2021,12,75-89,0.0,minimal_corrected
2021,12,>=90,0.0,minimal_corrected
2022,1,<1,5.0,minimal_corrected
2022,1,1-3,9.30232558139535,minimal_corrected
2022,1,4-12,4.918032786885246,minimal_corrected
2022,1,13-17,0.0,minimal_corrected
2022,1,18-44,0.0,minimal_corrected
2022,1,45-59,0.0,minimal_corrected
2022,1,60-74,0.0,minimal_corrected
2022,1,75-89,0.0,minimal_corrected
2022,1,>=90,0.0,minimal_corrected
2022,2,<1,7.142857142857142,minimal_corrected
2022,2,1-3,3.225806451612903,minimal_corrected
2022,2,4-12,0.0,minimal_corrected
2022,2,13-17,0.0,minimal_corrected
2022,2,18-44,0.0,minimal_corrected
2022,2,45-59,0.0,minimal_corrected
2022,2,60-74,0.0,minimal_corrected
2022,2,75-89,0.0,minimal_corrected
2022,2,>=90,0.0,minimal_corrected
2022,3,<1,9.25925925925926,minimal_corrected
2022,3,1-3,14.285714285714285,minimal_corrected
2022,3,4-12,4.444444444444445,minimal_corrected
2022,3,13-17,0.0,minimal_corrected
2022,3,18-44,1.96078431372549,minimal_corrected
2022,3,45-59,0.0,minimal_corrected
2022,3,60-74,2.941176470588235,minimal_corrected
2022,3,75-89,0.0,minimal_corrected
2022,3,>=90,0.0,minimal_corrected
2022,4,<1,4.545454545454546,minimal_corrected
2022,4,1-3,6.976744186046512,minimal_corrected
2022,4,4-12,2.5,minimal_corrected
2022,4,13-17,0.0,minimal_corrected
2022,4,18-44,0.0,minimal_corrected
2022,4,45-59,0.0,minimal_corrected
2022,4,60-74,0.0,minimal_corrected
2022,4,75-89,1.4084507042253522,minimal_corrected
2022,4,>=90,0.0,minimal_corrected
2022,5,<1,3.0303030303030303,minimal_corrected
2022,5,1-3,6.666666666666667,minimal_corrected
2022,5,4-12,5.88235294117647,minimal_corrected
2022,5,13-17,0.0,minimal_corrected
2022,5,18-44,0.0,minimal_corrected
2022,5,45-59,0.0,minimal_corrected
2022,5,60-74,0.0,minimal_corrected
2022,5,75-89,0.0,minimal_corrected
2022,5,>=90,0.0,minimal_corrected
2022,6,<1,15.384615384615383,minimal_corrected
2022,6,1-3,13.636363636363637,minimal_corrected
2022,6,4-12,7.4074074074074066,minimal_corrected
2022,6,13-17,0.0,minimal_corrected
2022,6,18-44,0.0,minimal_corrected
2022,6,45-59,3.571428571428571,minimal_corrected
2022,6,60-74,1.818181818181818,minimal_corrected
2022,6,75-89,0.0,minimal_corrected
2022,6,>=90,0.0,minimal_corrected
2022,7,<1,8.064516129032258,minimal_corrected
2022,7,1-3,9.210526315789473,minimal_corrected
2022,7,4-12,1.6666666666666667,minimal_corrected
2022,7,13-17,0.0,minimal_corrected
2022,7,18-44,1.851851851851852,minimal_corrected
2022,7,45-59,0.0,minimal_corrected
2022,7,60-74,0.0,minimal_corrected
2022,7,75-89,0.0,minimal_corrected
2022,7,>=90,0.0,minimal_corrected
2022,8,<1,6.122448979591836,minimal_corrected
2022,8,1-3,5.88235294117647,minimal_corrected
2022,8,4-12,8.695652173913043,minimal_corrected
2022,8,13-17,0.0,minimal_corrected
2022,8,18-44,0.0,minimal_corrected
2022,8,45-59,0.0,minimal_corrected
2022,8,60-74,0.0,minimal_corrected
2022,8,75-89,0.0,minimal_corrected
2022,8,>=90,0.0,minimal_corrected
2022,9,<1,5.714285714285714,minimal_corrected
2022,9,1-3,10.714285714285714,minimal_corrected
2022,9,4-12,2.2222222222222223,minimal_corrected
2022,9,13-17,0.0,minimal_corrected
2022,9,18-44,0.0,minimal_corrected
2022,9,45-59,0.0,minimal_corrected
2022,9,60-74,0.0,minimal_corrected
2022,9,75-89,0.0,minimal_corrected
2022,9,>=90,0.78125,minimal_corrected
2022,10,<1,9.375,minimal_corrected
2022,10,1-3,23.943661971830984,minimal_corrected
2022,10,4-12,10.44776119402985,minimal_corrected
2022,10,13-17,0.0,minimal_corrected
2022,10,18-44,0.0,minimal_corrected
2022,10,45-59,0.0,minimal_corrected
2022,10,60-74,0.0,minimal_corrected
2022,10,75-89,0.0,minimal_corrected
2022,10,>=90,0.0,minimal_corrected
2022,11,<1,4.081632653061225,minimal_corrected
2022,11,1-3,16.666666666666664,minimal_corrected
2022,11,4-12,12.5,minimal_corrected
2022,11,13-17,0.0,minimal_corrected
2022,11,18-44,0.0,minimal_corrected
2022,11,45-59,2.5,minimal_corrected
2022,11,60-74,0.0,minimal_corrected
2022,11,75-89,0.8130081300813009,minimal_corrected
2022,11,>=90,0.0,minimal_corrected
2022,12,<1,9.836065573770492,minimal_corrected
2022,12,1-3,16.666666666666664,minimal_corrected
2022,12,4-12,10.294117647058822,minimal_corrected
2022,12,13-17,0.0,minimal_corrected
2022,12,18-44,2.7777777777777777,minimal_corrected
2022,12,45-59,0.0,minimal_corrected
2022,12,60-74,2.898550724637681,minimal_corrected
2022,12,75-89,0.9009009009009008,minimal_corrected
2022,12,>=90,0.0,minimal_corrected
2023,1,<1,2.5316455696202533,minimal_corrected
2023,1,1-3,3.125,minimal_corrected
2023,1,4-12,4.166666666666666,minimal_corrected
2023,1,13-17,0.0,minimal_corrected
2023,1,18-44,0.0,minimal_corrected
2023,1,45-59,0.0,minimal_corrected
2023,1,60-74,0.0,minimal_corrected
2023,1,75-89,0.0,minimal_corrected
2023,1,>=90,0.0,minimal_corrected
2023,2,<1,0.0,minimal_corrected
2023,2,1-3,3.0303030303030303,minimal_corrected
2023,2,4-12,0.0,minimal_corrected
2023,2,13-17,0.0,minimal_corrected
2023,2,18-44,0.0,minimal_corrected
2023,2,45-59,0.0,minimal_corrected
2023,2,60-74,0.0,minimal_corrected
2023,2,75-89,0.0,minimal_corrected
2023,2,>=90,0.0,minimal_corrected
2023,3,<1,4.838709677419355,minimal_corrected
2023,3,1-3,4.3478260869565215,minimal_corrected
2023,3,4-12,4.242424242424243,minimal_corrected
2023,3,13-17,0.0,minimal_corrected
2023,3,18-44,0.0,minimal_corrected
2023,3,45-59,0.0,minimal_corrected
2023,3,60-74,0.0,minimal_corrected
2023,3,75-89,0.0,minimal_corrected
2023,3,>=90,0.0,minimal_corrected
2023,4,<1,3.75,minimal_corrected
2023,4,1-3,12.030075187969924,minimal_corrected
2023,4,4-12,4.411764705882353,minimal_corrected
2023,4,13-17,3.125,minimal_corrected
2023,4,18-44,0.0,minimal_corrected
2023,4,45-59,0.0,minimal_corrected
2023,4,60-74,0.4784688995215311,minimal_corrected
2023,4,75-89,0.0,minimal_corrected
2023,4,>=90,0.0,minimal_corrected
2023,5,<1,3.508771929824561,minimal_corrected
2023,5,1-3,7.731958762886598,minimal_corrected
2023,5,4-12,6.451612903225806,minimal_corrected
2023,5,13-17,0.0,minimal_corrected
2023,5,18-44,0.986842105263158,minimal_corrected
2023,5,45-59,0.0,minimal_corrected
2023,5,60-74,0.0,minimal_corrected
2023,5,75-89,0.0,minimal_corrected
2023,5,>=90,0.0,minimal_corrected
2023,6,<1,9.285714285714286,minimal_corrected
2023,6,1-3,7.450980392156863,minimal_corrected
2023,6,4-12,7.473309608540925,minimal_corrected
2023,6,13-17,0.0,minimal_corrected
2023,6,18-44,0.0,minimal_corrected
2023,6,45-59,0.0,minimal_corrected
2023,6,60-74,0.0,minimal_corrected
2023,6,75-89,0.0,minimal_corrected
2023,6,>=90,0.0,minimal_corrected
2023,7,<1,7.207207207207207,minimal_corrected
2023,7,1-3,9.634551495016613,minimal_corrected
2023,7,4-12,8.68421052631579,minimal_corrected
2023,7,13-17,5.555555555555555,minimal_corrected
2023,7,18-44,0.0,minimal_corrected
2023,7,45-59,0.0,minimal_corrected
2023,7,60-74,0.0,minimal_corrected
2023,7,75-89,0.0,minimal_corrected
2023,7,>=90,0.0,minimal_corrected
2023,8,<1,3.333333333333333,minimal_corrected
2023,8,1-3,8.532423208191126,minimal_corrected
2023,8,4-12,9.183673469387756,minimal_corrected
2023,8,13-17,3.8461538461538463,minimal_corrected
2023,8,18-44,0.0,minimal_corrected
2023,8,45-59,0.0,minimal_corrected
2023,8,60-74,0.0,minimal_corrected
2023,8,75-89,0.7407407407407408,minimal_corrected
2023,8,>=90,0.0,minimal_corrected
2023,9,<1,4.040404040404041,minimal_corrected
2023,9,1-3,17.880794701986755,minimal_corrected
2023,9,4-12,17.007672634271103,minimal_corrected
2023,9,13-17,3.571428571428571,minimal_corrected
2023,9,18-44,1.4705882352941175,minimal_corrected
2023,9,45-59,0.0,minimal_corrected
2023,9,60-74,0.0,minimal_corrected
2023,9,75-89,1.7094017094017095,minimal_corrected
2023,9,>=90,0.0,minimal_corrected
2023,10,<1,11.50442477876106,minimal_corrected
2023,10,1-3,17.6853055916775,minimal_corrected
2023,10,4-12,20.052219321148826,minimal_corrected
2023,10,13-17,22.22222222222222,minimal_corrected
2023,10,18-44,5.747126436781609,minimal_corrected
2023,10,45-59,2.912621359223301,minimal_corrected
2023,10,60-74,1.639344262295082,minimal_corrected
2023,10,75-89,1.818181818181818,minimal_corrected
2023,10,>=90,0.0,minimal_corrected
2023,11,<1,16.23931623931624,minimal_corrected
2023,11,1-3,21.80616740088106,minimal_corrected
2023,11,4-12,31.27549632852869,minimal_corrected
2023,11,13-17,45.038167938931295,minimal_corrected
2023,11,18-44,18.22660098522168,minimal_corrected
2023,11,45-59,6.363636363636363,minimal_corrected
2023,11,60-74,3.947368421052632,minimal_corrected
2023,11,75-89,3.4722222222222223,minimal_corrected
2023,11,>=90,1.1904761904761905,minimal_corrected
2023,12,<1,21.73913043478261,minimal_corrected
2023,12,1-3,30.0,minimal_corrected
2023,12,4-12,41.66666666666667,minimal_corrected
2023,12,13-17,34.98759305210918,minimal_corrected
2023,12,18-44,23.217247097844112,minimal_corrected
2023,12,45-59,12.601626016260164,minimal_corrected
2023,12,60-74,8.974358974358974,minimal_corrected
2023,12,75-89,3.731343283582089,minimal_corrected
2023,12,>=90,2.793296089385475,minimal_corrected
2024,1,<1,0.0,minimal_corrected
2024,1,1-3,0.0,minimal_corrected
2024,1,4-12,0.0,minimal_corrected
2024,1,13-17,7.142857142857142,minimal_corrected
2024,1,18-44,0.0,minimal_corrected
2024,1,45-59,1.9230769230769231,minimal_corrected
2024,1,60-74,2.5773195876288657,minimal_corrected
2024,1,75-89,0.0,minimal_corrected
2024,1,>=90,0.0,minimal_corrected
2024,2,<1,0.0,minimal_corrected
2024,2,4-12,0.0,minimal_corrected
2024,2,13-17,40.0,minimal_corrected
2024,2,18-44,2.941176470588235,minimal_corrected
2024,2,45-59,4.081632653061225,minimal_corrected
2024,2,60-74,1.9230769230769231,minimal_corrected
2024,2,75-89,0.0,minimal_corrected
2024,2,>=90,0.0,minimal_corrected
2024,3,<1,7.6923076923076925,minimal_corrected
2024,3,4-12,0.0,minimal_corrected
2024,3,13-17,0.0,minimal_corrected
2024,3,18-44,1.4705882352941175,minimal_corrected
2024,3,45-59,2.5210084033613445,minimal_corrected
2024,3,60-74,1.7045454545454544,minimal_corrected
2024,3,75-89,0.0,minimal_corrected
2024,3,>=90,0.0,minimal_corrected
2024,4,<1,5.555555555555555,minimal_corrected
2024,4,1-3,33.33333333333333,minimal_corrected
2024,4,4-12,33.33333333333333,minimal_corrected
2024,4,13-17,0.0,minimal_corrected
2024,4,18-44,0.0,minimal_corrected
2024,4,45-59,1.0309278350515465,minimal_corrected
2024,4,60-74,0.5747126436781609,minimal_corrected
2024,4,75-89,0.0,minimal_corrected
2024,4,>=90,0.0,minimal_corrected
2024,5,<1,13.333333333333334,minimal_corrected
2024,5,4-12,0.0,minimal_corrected
2024,5,13-17,0.0,minimal_corrected
2024,5,18-44,2.127659574468085,minimal_corrected
2024,5,45-59,1.0101010101010102,minimal_corrected
2024,5,60-74,3.2467532467532463,minimal_corrected
2024,5,75-89,2.0202020202020203,minimal_corrected
2024,5,>=90,0.0,minimal_corrected
2024,6,<1,4.545454545454546,minimal_corrected
2024,6,1-3,0.0,minimal_corrected
2024,6,4-12,0.0,minimal_corrected
2024,6,13-17,0.0,minimal_corrected
2024,6,18-44,1.96078431372549,minimal_corrected
2024,6,45-59,1.2048192771084338,minimal_corrected
2024,6,60-74,1.0,minimal_corrected
2024,6,75-89,0.0,minimal_corrected
2024,6,>=90,0.0,minimal_corrected
2024,7,<1,0.0,minimal_corrected
2024,7,1-3,0.0,minimal_corrected
2024,7,4-12,0.0,minimal_corrected
2024,7,13-17,0.0,minimal_corrected
2024,7,18-44,0.0,minimal_corrected
2024,7,45-59,1.1111111111111112,minimal_corrected
2024,7,60-74,2.459016393442623,minimal_corrected
2024,7,75-89,1.4925373134328357,minimal_corrected
2024,7,>=90,1.1764705882352942,minimal_corrected
2024,8,<1,10.0,minimal_corrected
2024,8,1-3,0.0,minimal_corrected
2024,8,4-12,0.0,minimal_corrected
2024,8,18-44,6.25,minimal_corrected
2024,8,45-59,1.7543859649122806,minimal_corrected
2024,8,60-74,0.0,minimal_corrected
2024,8,75-89,0.0,minimal_corrected
2024,8,>=90,0.0,minimal_corrected
2024,9,<1,0.0,minimal_corrected
2024,9,4-12,0.0,minimal_corrected
2024,9,13-17,0.0,minimal_corrected
2024,9,18-44,5.0,minimal_corrected
2024,9,45-59,0.0,minimal_corrected
2024,9,60-74,0.0,minimal_corrected
2024,9,75-89,0.0,minimal_corrected
2024,9,>=90,1.7543859649122806,minimal_corrected
2024,10,<1,0.0,minimal_corrected
2024,10,1-3,100.0,minimal_corrected
2024,10,4-12,0.0,minimal_corrected
2024,10,13-17,0.0,minimal_corrected
2024,10,18-44,0.0,minimal_corrected
2024,10,45-59,0.0,minimal_corrected
2024,10,60-74,2.5,minimal_corrected
2024,10,75-89,0.0,minimal_corrected
2024,10,>=90,0.0,minimal_corrected
2024,11,<1,6.666666666666667,minimal_corrected
2024,11,1-3,0.0,minimal_corrected
2024,11,4-12,0.0,minimal_corrected
2024,11,13-17,0.0,minimal_corrected
2024,11,18-44,0.0,minimal_corrected
2024,11,45-59,0.0,minimal_corrected
2024,11,60-74,0.0,minimal_corrected
2024,11,75-89,0.0,minimal_corrected
2024,11,>=90,0.0,minimal_corrected
2024,12,<1,0.0,minimal_corrected
2024,12,1-3,0.0,minimal_corrected
2024,12,4-12,16.666666666666664,minimal_corrected
2024,12,13-17,0.0,minimal_corrected
2024,12,18-44,0.0,minimal_corrected
2024,12,45-59,0.0,minimal_corrected
2024,12,60-74,0.0,minimal_corrected
