period,age_group,pathogen,environment,n_months,rho,p_value,q_period,q_age_panel,low_n,status
2019,<1,HRV,SO2,10,0.1999999999999999,0.5795840000000001,0.8421305982905984,0.7451794285714287,False,computed_exploratory
2019,<1,HRV,O3,10,0.0787878787878787,0.8287173946974606,0.932993093368002,0.8654768529253354,False,computed_exploratory
2019,<1,HRV,CO,10,-0.1151515151515151,0.7514196523258484,0.9211427661583907,0.8560477051813463,False,computed_exploratory
2019,<1,HRV,AQI,10,0.2606060606060606,0.4670890543863402,0.7611936252235276,0.6986733394905356,False,computed_exploratory
2019,<1,MP,windlevel,10,0.4863244349440517,0.1540799651466362,0.4693828677430339,0.4542832350490944,False,computed_exploratory
2019,<1,MP,temp,10,0.516719712128055,0.1261973666466198,0.4693828677430339,0.4542832350490944,False,computed_exploratory
2019,<1,MP,humi,10,-0.5045616012544536,0.1369419664160644,0.4693828677430339,0.4542832350490944,False,computed_exploratory
2019,<1,MP,PM2.5,10,-0.4437710468864471,0.1988934422361148,0.5323727615785966,0.4746853106335474,False,computed_exploratory
2019,<1,MP,PM10,10,-0.085106776115209,0.815171544541529,0.9269509202144476,0.8654768529253354,False,computed_exploratory
2019,<1,MP,NO2,10,-0.5714312110592608,0.0844118612625703,0.3957587237841413,0.4468863243312546,False,computed_exploratory
2019,<1,MP,SO2,10,-0.4133757697024439,0.2350619766326941,0.5920079411490075,0.5288894474235619,False,computed_exploratory
2019,<1,MP,O3,10,0.4620082131968491,0.1788565855618469,0.5067603257585664,0.4734439029578303,False,computed_exploratory
2019,<1,MP,CO,10,-0.4984825458176529,0.1425179176762529,0.4693828677430339,0.4542832350490944,False,computed_exploratory
2019,<1,MP,AQI,10,0.2553203283456271,0.4764934533513359,0.7678093561111575,0.6986733394905356,False,computed_exploratory
2019,<1,HMPV,windlevel,10,-0.6554771923189622,0.0396333430275177,0.2867092899862984,0.3963334302751772,False,computed_exploratory
2019,<1,HMPV,temp,10,-0.0887625364598594,0.8073545421035307,0.9211427661583907,0.8654768529253354,False,computed_exploratory
2019,<1,HMPV,humi,10,0.6759608545789297,0.0318945275902319,0.2711034845169716,0.3963334302751772,False,computed_exploratory
2019,<1,HMPV,PM2.5,10,0.075106761619881,0.8366276244944908,0.9357019484477858,0.8654768529253354,False,computed_exploratory
2019,<1,HMPV,PM10,10,-0.2526318345396,0.4813083005379245,0.7682855501544334,0.6986733394905356,False,computed_exploratory
2019,<1,HMPV,NO2,10,0.5325752187591567,0.1129934283193658,0.4685093369339561,0.4542832350490944,False,computed_exploratory
2019,<1,HMPV,SO2,10,0.0955904238798486,0.7927961895079721,0.9211427661583907,0.8654768529253354,False,computed_exploratory
2019,<1,HMPV,O3,10,-0.2935991590595351,0.4103093545999015,0.7388096310406082,0.6594257484641274,False,computed_exploratory
2019,<1,HMPV,CO,10,0.2935991590595351,0.4103093545999015,0.7388096310406082,0.6594257484641274,False,computed_exploratory
2019,<1,HMPV,AQI,10,-0.3550501458394378,0.3140524544456475,0.6550787393344795,0.5542102137276133,False,computed_exploratory
2019,<1,HBOV,windlevel,10,0.781631749350903,0.0075709963230458,0.19707719493515,0.3690525101479576,False,computed_exploratory
2019,<1,HBOV,temp,10,-0.0687835939428794,0.8502457429418195,0.9364874875430452,0.8695695098268609,False,computed_exploratory
2019,<1,HBOV,humi,10,-0.7316073173924452,0.0161765277312124,0.2244849387741673,0.3690525101479576,False,computed_exploratory
2019,<1,HBOV,PM2.5,10,0.1500732958753733,0.6790089297052537,0.9166032341131534,0.8487611621315672,False,computed_exploratory
2019,<1,HBOV,PM10,10,0.3939424016728551,0.2599937998054379,0.6269449696727785,0.5441813724451134,False,computed_exploratory
2019,<1,HBOV,NO2,10,-0.3439179697143973,0.3305264309208817,0.6727781215503825,0.5720649765938337,False,computed_exploratory
2019,<1,HBOV,SO2,10,0.2563752137870961,0.4746100227369975,0.7678093561111575,0.6986733394905356,False,computed_exploratory
2019,<1,HBOV,O3,10,0.1313141338909517,0.7176524583232446,0.9211427661583907,0.8560477051813463,False,computed_exploratory
2019,<1,HBOV,CO,10,0.2938935377559395,0.4098181256391981,0.7388096310406082,0.6594257484641274,False,computed_exploratory
2019,<1,HBOV,AQI,10,0.3564240777040118,0.3120496942184635,0.6550787393344795,0.5542102137276133,False,computed_exploratory
2019,1-3,FluA,windlevel,10,-0.0429480183397894,0.9062243097567702,0.976277525494802,0.97217551908516,False,computed_exploratory
2019,1-3,FluA,temp,10,-0.5092407888860745,0.1327426758149602,0.4693828677430339,0.3228875898201735,False,computed_exploratory
2019,1-3,FluA,humi,10,-0.0061354311913984,0.9865792494806584,1.0,0.9865792494806584,False,computed_exploratory
2019,1-3,FluA,PM2.5,10,0.4356156145892926,0.208257887001565,0.5488967564382335,0.4358886007009501,False,computed_exploratory
2019,1-3,FluA,PM10,10,0.263823541230135,0.4614050713614082,0.7578634022361294,0.6697815552020441,False,computed_exploratory
2019,1-3,FluA,NO2,10,0.717845449393623,0.0193992890736001,0.2302004357800321,0.1247097154731436,False,computed_exploratory
2019,1-3,FluA,SO2,10,0.2760944036129319,0.4400145222294611,0.7388096310406082,0.6687575123141271,False,computed_exploratory
2019,1-3,FluA,O3,10,-0.1533857797849622,0.67225190847117,0.9166032341131534,0.8450814699973173,False,computed_exploratory
2019,1-3,FluA,CO,10,0.754658036542014,0.0116448725046173,0.1979628325784954,0.0952762295832331,False,computed_exploratory
2019,1-3,FluA,AQI,10,0.0674897431053833,0.8530368033430833,0.9364874875430452,0.9478186703812036,False,computed_exploratory
2019,1-3,FluB,windlevel,10,-0.73011631177642,0.0165062454981005,0.2244849387741673,0.1142740072945421,False,computed_exploratory
2019,1-3,FluB,temp,10,0.1043023302537743,0.7743046543540669,0.9211427661583907,0.9081800222071438,False,computed_exploratory
2019,1-3,FluB,humi,10,0.6074076879484503,0.0625281759674004,0.366544479808899,0.2084272532246681,False,computed_exploratory
2019,1-3,FluB,PM2.5,10,-0.1533857797849622,0.67225190847117,0.9166032341131534,0.8450814699973173,False,computed_exploratory
2019,1-3,FluB,PM10,10,-0.5705951008000594,0.0849717259889479,0.3957587237841413,0.246692107709849,False,computed_exploratory
2019,1-3,FluB,NO2,10,0.227010954081744,0.5282230346638654,0.8096258519316172,0.7385546233005159,False,computed_exploratory
2019,1-3,FluB,SO2,10,-0.3619904402925107,0.3040046620233935,0.6550787393344795,0.5472083916421083,False,computed_exploratory
2019,1-3,FluB,O3,10,-0.4969699265032775,0.1439265465980044,0.4693828677430339,0.3408786629952736,False,computed_exploratory
2019,1-3,FluB,CO,10,-0.263823541230135,0.4614050713614082,0.7578634022361294,0.6697815552020441,False,computed_exploratory
2019,1-3,FluB,AQI,10,-0.6319494127140443,0.0499750874113386,0.3146579577750953,0.1729906871930954,False,computed_exploratory
2019,1-3,RSV,windlevel,10,0.4181818181818181,0.2291128409828189,0.5854400422728666,0.4677746056977951,False,computed_exploratory
2019,1-3,RSV,temp,10,-0.3454545454545454,0.3282265114713673,0.6722711680738849,0.579223255537707,False,computed_exploratory
2019,1-3,RSV,humi,10,-0.5515151515151515,0.0984011766696349,0.4289282059958448,0.2683668454626408,False,computed_exploratory
2019,1-3,RSV,PM2.5,10,0.6363636363636362,0.0479117261299754,0.3114269271621352,0.1724822140679117,False,computed_exploratory
2019,1-3,RSV,PM10,10,0.4424242424242424,0.2004226867119422,0.5323727615785966,0.4294771858113048,False,computed_exploratory
2019,1-3,RSV,NO2,10,0.0545454545454545,0.8810361811618526,0.9570361073323638,0.9669909305434966,False,computed_exploratory
2019,1-3,RSV,SO2,10,0.4666666666666666,0.1739385971650663,0.496967420471618,0.4013967626886146,False,computed_exploratory
2019,1-3,RSV,O3,10,0.4545454545454545,0.186904810349332,0.5124809316030071,0.4102788519863385,False,computed_exploratory
2019,1-3,RSV,CO,10,0.7575757575757575,0.0111434467996942,0.1979628325784954,0.0952762295832331,False,computed_exploratory
2019,1-3,RSV,AQI,10,0.6969696969696969,0.0250966758822518,0.2370241611101561,0.1254833794112591,False,computed_exploratory
2019,1-3,ADV,windlevel,10,-0.6606060606060605,0.0375883775714093,0.2778271385712868,0.1610930467346116,False,computed_exploratory
2019,1-3,ADV,temp,10,0.5393939393939393,0.1075931877824148,0.4516257264940869,0.2766681971547809,False,computed_exploratory
2019,1-3,ADV,humi,10,0.709090909090909,0.0216659233675324,0.2302004357800321,0.1254833794112591,False,computed_exploratory
2019,1-3,ADV,PM2.5,10,-0.5636363636363636,0.0897240283170912,0.4013969687869872,0.2523488296418192,False,computed_exploratory
2019,1-3,ADV,PM10,10,-0.7818181818181817,0.0075470077810678,0.19707719493515,0.0952762295832331,False,computed_exploratory
2019,1-3,ADV,NO2,10,-0.0303030303030303,0.9337729580941466,0.9890430085732392,0.982064063995184,False,computed_exploratory
2019,1-3,ADV,SO2,10,-0.6969696969696969,0.0250966758822518,0.2370241611101561,0.1254833794112591,False,computed_exploratory
2019,1-3,ADV,O3,10,-0.5272727272727272,0.1173080655502022,0.4687573724119506,0.2932701638755056,False,computed_exploratory
2019,1-3,ADV,CO,10,-0.6363636363636362,0.0479117261299754,0.3114269271621352,0.1724822140679117,False,computed_exploratory
2019,1-3,ADV,AQI,10,-0.7696969696969697,0.0092219527222159,0.19707719493515,0.0952762295832331,False,computed_exploratory
2019,1-3,PIV,windlevel,10,-0.3212121212121211,0.3654683104386702,0.726662137714315,0.6196729363729323,False,computed_exploratory
2019,1-3,PIV,temp,10,-0.0909090909090908,0.8027717312071619,0.9211427661583907,0.9145500735271463,False,computed_exploratory
2019,1-3,PIV,humi,10,0.2969696969696969,0.4047016712701569,0.7388096310406082,0.6390026388476162,False,computed_exploratory
2019,1-3,PIV,PM2.5,10,-0.2242424242424242,0.5334005612725948,0.8096258519316172,0.7385546233005159,False,computed_exploratory
2019,1-3,PIV,PM10,10,-0.1515151515151515,0.6760651759978538,0.9166032341131534,0.8450814699973173,False,computed_exploratory
