pathogen,lag,test_n,rf_rmse,rf_r2,persistence_rmse,persistence_r2,seasonal_naive_rmse,seasonal_naive_r2,cv_mean_rmse,cv_mean_r2,selected_by_training_cv
HRV,2,43,5.136577022853774,0.3186845659333333,3.620802868862229,0.6614596964874773,10.737423391665825,-1.977150396160436,5.634017868069113,-1.7317652976661222,False
HRV,3,44,6.401620363895883,0.0962295901576335,3.6899943166085007,0.6997177360805871,11.234121169286482,-1.7832774088740564,5.58954564647843,-1.8485136378472733,True
HRV,4,45,7.189317845472165,-0.0425563900547776,3.666663264694048,0.7288146399545807,11.647896599454436,-1.7366496300787715,6.172872687364929,-2.257934040696137,False
MP,0,41,1.945851789916484,-0.6573430425037123,2.017765967247999,-0.782109882332729,2.472715859326956,-1.6763402258880102,11.142982664453005,-25.00351917100351,False
MP,1,42,1.812910148645348,-0.4735014742211991,1.998598968562016,-0.7908092636895077,2.450293740910345,-1.6917474834811492,11.095085094886496,-23.49228069391808,True
MP,2,43,1.8245222516982045,-0.5237507570435553,1.9761776286424229,-0.7875885441417951,2.4248060949704136,-1.6913466281365055,12.852871874466803,-126.809819450907,False
MP,3,44,2.1749518639347003,-1.2151800680113,1.9560083189184343,-0.791641571641559,2.407145625107776,-1.7134040257977317,13.827325788967237,-144.99975991680822,False
MP,4,45,1.6651073470989022,-0.325880567201843,1.935689379585957,-0.7918071519409193,2.3843742618785533,-1.7187469157038389,14.675338855139785,-186.18329998799885,False
HMPV,0,35,2.9678340517419386,-0.0389500308530794,4.540594939002253,-1.4318733579815004,3.645555101814157,-0.5676271165003917,2.104516654850028,-1.8605469597391369,False
HMPV,1,36,2.9807409718816205,-0.0704067155039589,4.507280249783709,-1.4475381777502454,3.5945658060030663,-0.5566580719922023,1.98534002936826,-1.3778494434403874,False
HMPV,2,34,2.8861190338720446,0.0430964244862176,3.3169957991115098,-0.2639489759493985,3.393509908960813,-0.322933282719092,1.899511635474073,-1.4058509478180468,False
HMPV,3,35,2.7355113211562188,-0.3310032161273637,4.294593377901598,-2.280546304171495,2.9233446670161,-0.5200648506630434,1.8069217536378224,-0.9524783411082453,False
HMPV,4,37,3.0360879977311725,-0.1318861845855312,4.464789556051198,-1.447800597238114,3.5229135430874563,-0.5239756204069079,1.7099958525187702,-0.5566887280108643,True
HBOV,0,35,1.7455103339583866,-0.3590838453983735,2.284784356304865,-1.3285836016617338,1.2757615744646589,0.2739936218944536,0.8405451485662325,-0.4570434765253791,False
HBOV,1,36,1.8640706920365235,-0.5912944221759988,2.2528277565129136,-1.324244225090384,1.4118325879380935,0.0871652006014332,0.8102537941360943,-0.3956856257763527,False
HBOV,2,34,1.588983363158803,-0.0962518779515388,2.3181406368704227,-1.3331959316740565,1.4858504234857048,0.0414344100400154,0.7876968149154029,-0.0944510744943027,False
HBOV,3,35,1.5402048284355274,-0.058177109807086,2.284784356304865,-1.3285836016617345,1.4485598695872666,0.0640033364697895,0.762507978210486,-0.1270582486008427,True
HBOV,4,37,1.951925258462578,-0.281132386537108,2.435321890264174,-0.994253611164222,1.7382384386477496,-0.0159827659922746,0.8073168930542745,-0.1702255979072377,False
